Subject,Start Date,Start Time,End Date,End Time,Description,Location
wyk - Prawo instrumentów finansowych, 01/10/2018, 15:20, 01/10/2018, 17:00, prof. UE dr hab. Witosz Aleksander - PSW, 228 A
inne - Projekt: "Blisko-Międzynarodowo-Przez całe życie", 02/10/2018, 08:00, 02/10/2018, 18:50, prof. dr hab. Buk Halina, n/z
wyk - Sprawozdawczość finansowa, 03/10/2018, 08:00, 03/10/2018, 09:40, prof. dr hab. Buk Halina - RPS, Aula A
wyk - Analiza finansowa, 03/10/2018, 09:50, 03/10/2018, 11:30, prof. dr hab. Buk Halina - RPS, Aula @
wyk - Finanse międzynarodowe, 03/10/2018, 11:40, 03/10/2018, 13:20, prof. dr hab. Harasim Janina - RPS, Aula A
wyk - Dodatkowe ubezpieczenia emerytalne, 03/10/2018, 13:30, 03/10/2018, 15:10, prof. UE dr hab. Koczur Wiesław - PSW, 412 A
wyk - Podstawy audytu wewnętrznego, 03/10/2018, 15:20, 03/10/2018, 17:00, prof. UE dr hab. Pfaff Józef - PSW, 335 A
wyk - Prawo reklamy, 04/10/2018, 09:50, 04/10/2018, 11:30, dr Lubicz-Posochowska Aleksandra - PSW, Aula B
wyk - Planowanie finansowe, 04/10/2018, 11:40, 04/10/2018, 13:20, dr Kozłowska-Makóś Danuta - PSW, 418 A
Ćwi - Instrumenty opodatkowania pośredniego ludności i podmiotów gospodarczych, 04/10/2018, 13:30, 04/10/2018, 15:10, mgr Sygut Edyta - RPS, 214 B
Ćwi - Sprawozdawczość finansowa, 04/10/2018, 15:20, 04/10/2018, 17:00, dr Emerling Izabela - RPS, 227 A
wyk - Instrumenty opodatkowania pośredniego ludności i podmiotów gospodarczych, 05/10/2018, 08:00, 05/10/2018, 09:40, dr Jarczok-Guzy Magdalena - RPS, Aula A
wyk - Instrumenty opodatkowania bezpośredniego ludności i podmiotów gospodarczych, 05/10/2018, 09:50, 05/10/2018, 11:30, dr Ciupek Bożena - RPS, Aula A
Ćwi - Instrumenty opodatkowania bezpośredniego ludności i podmiotów gospodarczych, 05/10/2018, 11:40, 05/10/2018, 13:20, mgr Świętek Łukasz - RPS, 213 B
Ćwi - Analiza finansowa, 05/10/2018, 15:20, 05/10/2018, 17:00, dr Emerling Izabela - RPS, 411 A
sem - Seminarium dyplomowe dr Anna Doś, 08/10/2018, 08:00, 08/10/2018, 09:40, dr Doś Anna - SD, Katedra -
inne - Projekt: "Blisko-Międzynarodowo-Przez całe życie", 09/10/2018, 08:00, 09/10/2018, 18:50, prof. dr hab. Buk Halina, n/z
wyk - Sprawozdawczość finansowa, 10/10/2018, 08:00, 10/10/2018, 09:40, prof. dr hab. Buk Halina - RPS, Aula A
wyk - Analiza finansowa, 10/10/2018, 09:50, 10/10/2018, 11:30, prof. dr hab. Buk Halina - RPS, Aula @
wyk - Finanse międzynarodowe, 10/10/2018, 11:40, 10/10/2018, 13:20, prof. dr hab. Harasim Janina - RPS, Aula A
wyk - Rachunkowość jednostek handlowych, 10/10/2018, 13:30, 10/10/2018, 15:10, dr Poniatowska Lucyna - PSW, 412 A
