Subject,Start Date,Start Time,End Date,End Time,Description,Location
wyk - Prawo instrumentow finansowych,01/10/2018,15:20,01/10/2018,17:00,prof. UE dr hab. Witosz Aleksander,228 A
"undefined - Projekt: ""Blisko-Miedzynarodowo-Przez cale zycie,02/10/2018,08:00,02/10/2018,18:50,n/z n/z,n/z"
wyk - Aula A,03/10/2018,08:00,03/10/2018,09:40,prof. dr hab. Buk Halina,412 A
wyk - Sprawozdawczosc finansowa,03/10/2018,09:50,03/10/2018,11:30,prof. dr hab. Buk Halina,335 A
wyk - Aula @,03/10/2018,11:40,03/10/2018,13:20,prof. dr hab. Harasim Janina,undefined
wyk - Analiza finansowa,03/10/2018,13:30,03/10/2018,15:10,prof. UE dr hab. Koczur Wieslaw,undefined
wyk - Aula A,03/10/2018,15:20,03/10/2018,17:00,prof. UE dr hab. Pfaff Jozef,undefined
wyk - Aula B,04/10/2018,09:50,04/10/2018,11:30,dr Lubicz-Posochowska Aleksandra,418 A
wyk - Prawo reklamy,04/10/2018,11:40,04/10/2018,13:20,dr Kozlowska-Makos Danuta,214 B
cwi - Planowanie finansowe,04/10/2018,13:30,04/10/2018,15:10,mgr Sygut Edyta,227 A
cwi - Instrumenty opodatkowania posredniego ludnosci i podmiotow gospodarczych,04/10/2018,15:20,04/10/2018,17:00,dr Emerling Izabela,undefined
wyk - Aula A,05/10/2018,08:00,05/10/2018,09:40,dr Jarczok-Guzy Magdalena,213 B
wyk - Instrumenty opodatkowania posredniego ludnosci i podmiotow gospodarczych,05/10/2018,09:50,05/10/2018,11:30,dr Ciupek Bozena,411 A
cwi - Aula A,05/10/2018,11:40,05/10/2018,13:20,mgr Swiatek L「kasz,undefined
cwi - Instrumenty opodatkowania bezposredniego ludnosci i podmiotow gospodarczych,05/10/2018,15:20,05/10/2018,17:00,dr Emerling Izabela,undefined
"undefined - Projekt: ""Blisko-Miedzynarodowo-Przez cale zycie,09/10/2018,08:00,09/10/2018,18:50,n/z n/z,n/z"
wyk - Aula A,10/10/2018,08:00,10/10/2018,09:40,prof. dr hab. Buk Halina,412 A
wyk - Sprawozdawczosc finansowa,10/10/2018,09:50,10/10/2018,11:30,prof. dr hab. Buk Halina,undefined
wyk - Aula @,10/10/2018,11:40,10/10/2018,13:20,prof. dr hab. Harasim Janina,undefined
wyk - Analiza finansowa,10/10/2018,13:30,10/10/2018,15:10,dr Poniatowska Lucyna,undefined
cwi - Instrumenty opodatkowania posredniego ludnosci i podmiotow gospodarczych,11/10/2018,13:30,11/10/2018,15:10,mgr Sygut Edyta,214 B
cwi - Sprawozdawczosc finansowa,11/10/2018,15:20,11/10/2018,17:00,dr Emerling Izabela,227 A
wyk - 08:00-09:,12/10/2018,09:50,12/10/2018,11:30,dr Jarczok-Guzy Magdalena,213 B
wyk - Aula A,12/10/2018,11:40,12/10/2018,13:20,dr Jarczok-Guzy Magdalena,undefined
wyk - Prawo instrumentow finansowych,15/10/2018,15:20,15/10/2018,17:00,prof. UE dr hab. Witosz Aleksander,228 A
"undefined - Projekt: ""Blisko-Miedzynarodowo-Przez cale zycie,16/10/2018,08:00,16/10/2018,18:50,n/z n/z,n/z"
wyk - Aula A,17/10/2018,08:00,17/10/2018,09:40,prof. dr hab. Buk Halina,412 A
wyk - Sprawozdawczosc finansowa,17/10/2018,09:50,17/10/2018,11:30,prof. dr hab. Buk Halina,335 A
wyk - Aula @,17/10/2018,11:40,17/10/2018,13:20,prof. dr hab. Harasim Janina,undefined
wyk - Analiza finansowa,17/10/2018,13:30,17/10/2018,15:10,prof. UE dr hab. Koczur Wieslaw,undefined
wyk - Aula A,17/10/2018,15:20,17/10/2018,17:00,prof. UE dr hab. Pfaff Jozef,undefined
wyk - Aula B,18/10/2018,09:50,18/10/2018,11:30,dr Lubicz-Posochowska Aleksandra,418 A
wyk - Prawo reklamy,18/10/2018,11:40,18/10/2018,13:20,dr Kozlowska-Makos Danuta,214 B
cwi - Planowanie finansowe,18/10/2018,13:30,18/10/2018,15:10,mgr Sygut Edyta,227 A
cwi - Instrumenty opodatkowania posredniego ludnosci i podmiotow gospodarczych,18/10/2018,15:20,18/10/2018,17:00,dr Emerling Izabela,undefined
wyk - Aula A,19/10/2018,08:00,19/10/2018,09:40,dr Jarczok-Guzy Magdalena,213 B
wyk - Instrumenty opodatkowania posredniego ludnosci i podmiotow gospodarczych,19/10/2018,09:50,19/10/2018,11:30,dr Ciupek Bozena,411 A
cwi - Aula A,19/10/2018,11:40,19/10/2018,13:20,mgr Swiatek L「kasz,undefined
cwi - Instrumenty opodatkowania bezposredniego ludnosci i podmiotow gospodarczych,19/10/2018,15:20,19/10/2018,17:00,dr Emerling Izabela,undefined
"undefined - Projekt: ""Blisko-Miedzynarodowo-Przez cale zycie,23/10/2018,08:00,23/10/2018,18:50,n/z n/z,n/z"
wyk - Aula A,24/10/2018,08:00,24/10/2018,09:40,prof. dr hab. Buk Halina,412 A
wyk - Sprawozdawczosc finansowa,24/10/2018,09:50,24/10/2018,11:30,prof. dr hab. Buk Halina,undefined
wyk - Aula @,24/10/2018,11:40,24/10/2018,13:20,prof. dr hab. Harasim Janina,undefined
wyk - Analiza finansowa,24/10/2018,13:30,24/10/2018,15:10,dr Poniatowska Lucyna,undefined
cwi - Instrumenty opodatkowania posredniego ludnosci i podmiotow gospodarczych,25/10/2018,13:30,25/10/2018,15:10,mgr Sygut Edyta,214 B
cwi - Sprawozdawczosc finansowa,25/10/2018,15:20,25/10/2018,17:00,dr Emerling Izabela,227 A
wyk - Aula A,26/10/2018,08:00,26/10/2018,09:40,dr Jarczok-Guzy Magdalena,213 B
wyk - Instrumenty opodatkowania posredniego ludnosci i podmiotow gospodarczych,26/10/2018,09:50,26/10/2018,11:30,dr Ciupek Bozena,undefined
cwi - Aula A,26/10/2018,11:40,26/10/2018,13:20,mgr Swiatek L「kasz,undefined
wyk - Prawo instrumentow finansowych,29/10/2018,15:20,29/10/2018,17:00,prof. UE dr hab. Witosz Aleksander,228 A
"undefined - Projekt: ""Blisko-Miedzynarodowo-Przez cale zycie,30/10/2018,08:00,30/10/2018,18:50,n/z n/z,n/z"
wyk - Aula A,31/10/2018,08:00,31/10/2018,09:40,prof. dr hab. Buk Halina,412 A
wyk - Sprawozdawczosc finansowa,31/10/2018,09:50,31/10/2018,11:30,prof. dr hab. Buk Halina,335 A
wyk - Aula @,31/10/2018,11:40,31/10/2018,13:20,prof. dr hab. Harasim Janina,undefined
wyk - Analiza finansowa,31/10/2018,13:30,31/10/2018,15:10,prof. UE dr hab. Koczur Wieslaw,undefined
wyk - Aula A,31/10/2018,15:20,31/10/2018,17:00,prof. UE dr hab. Pfaff Jozef,undefined
"undefined - Projekt: ""Blisko-Miedzynarodowo-Przez cale zycie,06/11/2018,08:00,06/11/2018,18:50,n/z n/z,n/z"
wyk - Aula A,07/11/2018,08:00,07/11/2018,09:40,prof. dr hab. Buk Halina,412 A
wyk - Sprawozdawczosc finansowa,07/11/2018,09:50,07/11/2018,11:30,prof. dr hab. Buk Halina,undefined
wyk - Aula @,07/11/2018,11:40,07/11/2018,13:20,prof. dr hab. Harasim Janina,undefined
wyk - Analiza finansowa,07/11/2018,13:30,07/11/2018,15:10,dr Poniatowska Lucyna,undefined
cwi - Instrumenty opodatkowania posredniego ludnosci i podmiotow gospodarczych,08/11/2018,13:30,08/11/2018,15:10,mgr Sygut Edyta,214 B
cwi - Sprawozdawczosc finansowa,08/11/2018,15:20,08/11/2018,17:00,dr Emerling Izabela,227 A
wyk - Aula A,09/11/2018,08:00,09/11/2018,09:40,dr Jarczok-Guzy Magdalena,213 B
wyk - Instrumenty opodatkowania posredniego ludnosci i podmiotow gospodarczych,09/11/2018,09:50,09/11/2018,11:30,dr Ciupek Bozena,undefined
cwi - Aula A,09/11/2018,11:40,09/11/2018,13:20,mgr Swiatek L「kasz,undefined
wyk - Prawo instrumentow finansowych,12/11/2018,15:20,12/11/2018,17:00,prof. UE dr hab. Witosz Aleksander,228 A
"undefined - Projekt: ""Blisko-Miedzynarodowo-Przez cale zycie,13/11/2018,08:00,13/11/2018,18:50,n/z n/z,n/z"
wyk - Aula A,14/11/2018,08:00,14/11/2018,09:40,prof. dr hab. Buk Halina,233 F
